TEAM,W,L,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Minnesota,14,13,24.70,60.52,0.41,18.85,41.52,0.46,5.85,19.00,0.31,11.30,16.11,0.70,66.56,9.22,23.70,32.93,13.26,5.19,3.56,10.07,16.30
Creighton,22,6,26.00,62.43,0.42,18.43,38.61,0.48,7.57,23.82,0.33,10.29,14.57,0.69,69.86,9.89,24.25,34.14,13.43,4.79,3.25,11.86,16.79
UNLV,15,12,22.70,54.56,0.42,14.67,30.96,0.47,8.04,23.59,0.34,17.04,23.81,0.73,70.48,6.96,22.48,29.44,13.96,6.00,3.26,11.11,18.67
Oregon,20,7,23.59,56.63,0.42,15.78,34.00,0.46,7.81,22.63,0.34,12.26,16.67,0.74,67.26,9.04,20.74,29.78,12.37,3.96,3.63,12.96,15.52
UCLA,15,12,23.00,53.37,0.43,15.33,33.22,0.46,7.67,20.15,0.37,14.41,19.67,0.73,68.07,7.44,21.07,28.52,11.30,5.81,3.00,12.19,18.04
California,10,18,23.21,53.21,0.44,15.61,32.79,0.48,7.61,20.43,0.38,15.68,21.43,0.72,69.71,7.00,23.64,30.64,12.18,5.04,3.64,10.86,17.79
Stanford,16,12,22.18,55.18,0.41,16.07,34.71,0.47,6.11,20.46,0.30,12.46,17.68,0.67,62.93,8.25,22.64,30.89,10.14,6.46,4.04,14.75,17.36
Ohio St.,17,10,22.74,55.41,0.41,15.44,33.63,0.47,7.30,21.78,0.34,11.56,16.26,0.72,64.33,6.96,20.93,27.89,11.22,5.07,3.26,11.33,18.52
Illinois,18,9,23.93,58.26,0.41,17.48,38.81,0.45,6.44,19.44,0.34,10.15,13.93,0.72,64.44,8.15,21.67,29.81,11.00,5.30,3.37,11.11,17.93
Delaware,17,11,25.36,59.04,0.43,17.39,36.21,0.48,7.96,22.82,0.35,13.54,17.39,0.77,72.21,8.29,22.39,30.68,12.36,6.71,2.46,10.89,16.54
Northeastern,15,14,23.45,52.17,0.45,17.07,32.48,0.53,6.38,19.69,0.32,11.86,16.14,0.72,65.14,6.55,21.59,28.14,10.10,4.86,2.28,13.00,15.24
Detroit,8,21,27.66,60.34,0.46,19.17,37.10,0.52,8.48,23.24,0.36,13.83,19.10,0.72,77.62,9.41,24.66,34.07,17.10,6.28,3.41,11.86,17.72
Illinois Chicago,17,14,23.61,58.90,0.40,17.16,36.10,0.48,6.45,22.81,0.28,14.42,21.65,0.68,68.10,9.26,22.61,31.87,13.19,7.00,2.42,12.58,16.77
Maine,8,20,23.18,55.14,0.42,14.89,29.54,0.51,8.29,25.61,0.32,13.46,17.75,0.74,68.11,7.46,22.18,29.64,12.79,7.50,2.32,12.14,15.32
Providence,16,11,23.37,55.00,0.43,16.96,34.78,0.49,6.41,20.22,0.32,14.44,20.56,0.69,67.59,8.30,24.00,32.30,11.89,7.11,3.41,13.33,19.00
Appalachian St.,15,12,25.15,56.59,0.45,17.89,34.67,0.52,7.26,21.93,0.33,11.48,15.63,0.75,69.04,8.30,23.52,31.81,14.00,6.96,2.44,13.48,19.41
Coastal Carolina,15,15,24.57,57.83,0.42,15.87,32.13,0.49,8.70,25.70,0.33,19.10,26.47,0.71,76.93,8.70,22.27,30.97,13.90,7.50,3.13,13.57,18.97
Eastern Michigan,12,16,22.61,54.50,0.42,13.86,28.86,0.48,8.75,25.64,0.34,11.75,16.75,0.71,65.71,9.04,24.96,34.00,14.75,6.57,2.54,15.29,18.50
Miami OH,11,18,24.45,56.38,0.44,16.66,34.07,0.50,7.79,22.31,0.35,13.79,20.38,0.68,70.48,8.97,25.76,34.72,11.45,5.41,3.31,12.07,17.14
Penn,14,10,26.50,62.79,0.43,20.21,44.25,0.46,6.29,18.54,0.34,11.00,15.42,0.69,70.29,9.00,24.83,33.83,10.71,7.17,2.63,11.13,15.13
Presbyterian,9,19,24.79,55.00,0.45,16.07,30.68,0.52,8.71,24.32,0.36,14.93,21.00,0.70,73.21,7.86,22.21,30.07,13.36,7.21,3.25,11.25,17.25
Winthrop,21,8,24.93,56.28,0.44,18.07,34.86,0.52,6.86,21.41,0.32,16.31,24.17,0.67,73.03,7.17,22.83,30.00,12.66,6.48,3.14,14.07,20.76
Green Bay,16,14,27.93,63.70,0.44,19.03,37.97,0.51,8.90,25.73,0.34,15.47,20.47,0.77,80.23,10.10,25.27,35.37,14.50,5.50,2.43,13.73,18.63
Youngstown St.,17,13,26.07,59.30,0.44,19.13,39.27,0.49,6.93,20.03,0.35,12.50,18.23,0.68,71.57,9.17,21.67,30.83,12.67,5.73,3.33,11.53,17.53
UAB,17,12,23.28,56.28,0.42,15.62,33.41,0.48,7.66,22.86,0.33,11.14,15.41,0.74,65.34,7.28,20.52,27.79,11.03,6.62,3.21,11.86,17.62
Louisiana Tech,20,7,22.41,55.74,0.41,15.56,33.48,0.48,6.85,22.26,0.30,12.30,17.30,0.70,63.96,8.19,22.26,30.44,11.30,5.00,3.26,13.81,16.48
Central Connecticut,4,23,27.07,59.11,0.46,18.48,35.74,0.53,8.59,23.37,0.36,13.41,19.37,0.70,76.15,10.30,26.56,36.85,14.89,6.74,4.07,12.44,15.81
Wagner,7,18,24.24,53.84,0.45,15.56,31.52,0.50,8.68,22.32,0.38,17.20,24.12,0.70,74.36,8.92,23.40,32.32,14.96,6.36,3.32,12.92,17.16
Cleveland St.,10,18,24.18,55.54,0.44,16.96,34.29,0.50,7.21,21.25,0.34,15.71,21.75,0.72,71.29,9.68,22.89,32.57,13.36,6.82,4.75,13.89,19.61
Milwaukee,9,18,24.63,55.07,0.45,17.81,35.74,0.50,6.81,19.33,0.36,16.89,23.59,0.71,72.96,9.07,25.74,34.81,12.52,5.56,3.26,14.22,18.26
Denver,5,22,26.07,57.89,0.45,18.22,33.52,0.55,7.85,24.37,0.32,16.74,22.11,0.74,76.74,7.96,25.19,33.15,12.19,6.33,2.41,12.19,19.63
North Dakota St.,21,6,25.19,57.70,0.44,19.67,39.93,0.49,5.52,17.78,0.32,11.41,15.56,0.72,67.30,5.37,24.04,29.41,9.22,4.81,2.89,9.63,16.78
IUPUI,5,23,29.43,63.04,0.47,20.04,38.29,0.53,9.39,24.75,0.39,13.39,18.18,0.72,81.64,9.93,25.86,35.79,16.29,7.04,3.93,12.18,18.25
Oakland,10,17,26.04,60.56,0.43,17.59,35.26,0.50,8.44,25.30,0.34,11.15,16.44,0.64,71.67,10.19,24.00,34.19,14.67,6.30,2.89,11.56,19.44
Fairleigh Dickinson,10,17,27.33,59.44,0.46,18.96,35.56,0.53,8.37,23.89,0.35,13.30,18.59,0.71,76.33,9.70,24.11,33.81,15.37,6.41,3.22,12.22,15.93
Sacred Heart,20,10,25.33,61.63,0.41,18.57,41.00,0.45,6.77,20.63,0.33,9.90,14.37,0.70,67.33,8.57,21.00,29.57,13.90,6.40,3.20,11.03,19.03
Austin Peay,20,10,25.93,55.53,0.47,19.03,36.53,0.53,6.90,19.00,0.37,12.00,17.57,0.66,70.77,7.57,21.60,29.17,13.33,5.87,2.43,14.23,19.73
Belmont,24,6,25.20,61.57,0.41,18.23,39.87,0.46,6.97,21.70,0.31,9.77,15.27,0.63,67.13,9.37,24.97,34.33,11.90,5.77,3.00,14.03,14.63
Central Michigan,11,18,27.97,59.90,0.47,18.90,36.28,0.52,9.07,23.62,0.38,12.14,17.00,0.72,77.14,8.48,26.38,34.86,14.14,6.59,3.52,15.79,18.59
Charlotte,14,12,23.62,53.58,0.44,16.92,32.31,0.52,6.69,21.27,0.32,10.50,15.04,0.67,64.42,6.73,22.81,29.54,12.00,6.96,3.31,13.38,16.69
FIU,18,11,26.03,62.07,0.42,19.62,39.79,0.50,6.41,22.28,0.29,13.83,18.62,0.73,72.31,11.69,24.66,36.34,12.79,7.83,2.90,15.21,16.34
Charleston,15,13,23.82,56.29,0.42,16.82,34.75,0.49,7.00,21.54,0.33,13.25,17.86,0.75,67.89,8.89,24.61,33.50,12.25,4.82,3.21,11.54,16.61
UNC Wilmington,8,20,25.14,56.86,0.45,18.14,34.71,0.53,7.00,22.14,0.31,13.07,18.96,0.68,70.36,8.25,24.93,33.18,12.68,6.43,2.64,12.18,16.29
Columbia,5,21,27.92,61.23,0.46,19.69,36.46,0.55,8.23,24.77,0.34,10.08,14.88,0.66,74.15,7.08,28.19,35.27,13.96,5.65,3.69,10.50,14.96
Cornell,6,17,25.22,55.87,0.45,17.52,33.70,0.52,7.70,22.17,0.34,12.83,17.91,0.72,70.96,8.35,23.17,31.52,13.96,5.35,3.48,11.78,15.00
Eastern Illinois,15,13,24.68,57.50,0.43,17.64,38.21,0.46,7.04,19.29,0.36,13.93,18.79,0.74,70.32,8.64,23.89,32.54,12.50,6.07,2.54,14.54,17.18
Southeast Missouri St.,6,23,26.69,56.28,0.48,19.34,36.10,0.54,7.34,20.17,0.35,13.28,19.10,0.70,74.00,7.48,25.38,32.86,15.03,5.55,3.24,12.10,17.90
Elon,11,19,23.67,52.70,0.45,15.57,30.80,0.51,8.10,21.90,0.36,16.77,22.37,0.75,72.20,6.83,24.27,31.10,12.40,5.93,2.47,11.27,17.77
James Madison,7,19,27.50,60.12,0.46,18.04,34.85,0.52,9.46,25.27,0.37,13.46,18.38,0.72,77.92,7.77,26.04,33.81,14.69,5.81,3.23,11.08,18.08
Charleston Southern,13,15,26.04,57.57,0.45,19.18,36.68,0.53,6.86,20.89,0.33,12.11,17.18,0.70,71.04,8.79,25.82,34.61,13.75,6.96,2.71,12.00,15.61
Gardner Webb,16,13,25.00,59.45,0.42,16.55,34.41,0.49,8.45,25.03,0.33,12.38,17.38,0.71,70.83,8.41,23.10,31.52,13.90,5.79,2.66,11.62,16.93
Drexel,12,16,25.93,57.39,0.45,20.46,39.96,0.51,5.46,17.43,0.31,12.75,16.79,0.75,70.07,8.04,21.71,29.75,11.61,7.18,3.14,10.54,16.93
Hofstra,24,6,26.10,58.27,0.45,19.70,36.87,0.54,6.40,21.40,0.30,8.67,12.07,0.72,67.27,8.63,22.20,30.83,14.30,5.93,2.33,13.27,18.13
Jacksonville,11,15,24.08,59.31,0.41,17.31,36.92,0.47,6.77,22.38,0.30,12.31,17.31,0.71,67.23,8.42,22.65,31.08,10.31,6.73,3.38,10.42,16.00
Kennesaw St.,1,25,27.58,57.23,0.48,20.00,35.92,0.56,7.58,21.31,0.35,11.88,18.12,0.66,74.62,9.19,25.96,35.15,13.96,6.12,3.85,11.77,17.58
LIU,15,15,28.07,63.60,0.44,20.40,40.53,0.51,7.67,23.07,0.34,12.57,17.77,0.71,76.37,10.17,26.23,36.40,14.40,6.40,3.40,13.47,18.10
Robert Morris,19,10,23.97,54.14,0.44,17.62,34.28,0.52,6.34,19.86,0.32,11.76,16.07,0.72,66.03,8.00,22.59,30.59,11.59,6.28,3.17,14.45,16.34
North Carolina Central,17,10,23.07,56.70,0.41,16.74,35.04,0.48,6.33,21.67,0.29,12.07,17.30,0.69,64.56,9.96,22.00,31.96,11.48,6.15,3.00,16.44,16.59
Western Michigan,10,18,25.43,59.25,0.43,17.89,36.50,0.49,7.54,22.75,0.33,11.79,17.00,0.69,70.18,9.21,24.29,33.50,12.46,6.07,3.00,10.71,18.07
Hampton,13,18,27.97,61.29,0.46,19.58,37.58,0.52,8.39,23.71,0.35,16.32,23.26,0.70,80.65,10.23,24.10,34.32,15.13,5.61,2.77,10.55,20.32
Radford,20,9,23.17,55.17,0.42,15.14,30.48,0.50,8.03,24.69,0.32,12.28,18.17,0.67,66.66,7.79,21.52,29.31,12.48,4.24,2.86,10.48,18.00
UNC Asheville,13,14,27.33,54.67,0.50,20.89,37.04,0.56,6.44,17.63,0.36,13.59,20.33,0.67,74.70,7.96,25.33,33.30,13.56,4.78,2.67,15.30,17.89
USC Upstate,12,17,25.59,55.52,0.46,17.76,33.66,0.53,7.83,21.86,0.36,15.86,22.14,0.71,74.86,8.62,25.14,33.76,12.24,5.90,3.17,12.62,17.21
South Dakota,15,12,26.93,59.00,0.46,19.22,37.41,0.52,7.70,21.59,0.36,13.63,18.33,0.75,75.19,6.26,24.37,30.63,11.56,4.96,2.56,11.63,20.63
St. Francis PA,20,8,25.75,58.79,0.44,17.93,35.04,0.51,7.82,23.75,0.33,11.57,15.79,0.74,70.89,9.04,21.29,30.32,13.14,5.32,3.25,13.50,18.04
St. Francis NY,12,15,24.59,57.04,0.43,17.89,38.19,0.47,6.70,18.85,0.36,14.44,20.19,0.69,70.33,8.00,25.93,33.93,11.59,5.41,3.33,13.74,16.70
Liberty,26,4,19.40,49.70,0.39,13.47,29.53,0.46,5.93,20.17,0.29,9.23,13.23,0.71,53.97,5.47,21.03,26.50,9.03,4.33,1.77,11.77,16.13
Stetson,14,15,22.76,53.97,0.42,14.17,28.31,0.51,8.59,25.66,0.33,11.45,16.93,0.67,65.55,8.03,20.45,28.48,13.76,5.66,3.03,11.34,17.17
Towson,17,11,23.36,56.29,0.42,15.29,31.75,0.49,8.07,24.54,0.33,12.57,16.89,0.73,67.36,7.86,21.14,29.00,12.57,4.89,2.57,10.04,17.61
William & Mary,17,10,25.33,58.41,0.44,17.67,36.89,0.48,7.67,21.52,0.35,10.67,15.26,0.70,69.00,6.74,22.07,28.81,11.78,6.89,2.67,9.93,16.85
Georgia Southern,18,11,26.14,59.76,0.44,19.76,37.76,0.52,6.38,22.00,0.29,11.72,16.48,0.70,70.38,8.93,24.79,33.72,13.34,6.00,2.31,14.41,18.86
Georgia St.,18,10,23.82,58.00,0.41,17.93,37.86,0.48,5.89,20.14,0.29,18.86,26.14,0.73,72.39,9.89,23.93,33.82,12.11,6.07,3.68,14.79,17.64
Jacksonville St.,12,17,25.24,56.07,0.45,18.28,34.55,0.53,6.97,21.52,0.32,11.38,16.48,0.69,68.83,6.66,21.90,28.55,13.69,6.48,2.90,13.10,16.10
Morehead St.,9,19,26.04,59.64,0.44,18.79,37.89,0.51,7.25,21.75,0.33,12.18,17.00,0.69,71.50,8.75,25.46,34.21,12.29,5.64,4.75,11.32,16.61
Lamar,14,14,26.32,59.46,0.44,18.71,37.79,0.49,7.61,21.68,0.35,11.14,15.96,0.69,71.39,9.71,24.32,34.04,14.32,7.14,3.50,15.46,18.82
Lipscomb,15,13,26.04,58.32,0.45,17.50,34.46,0.51,8.54,23.86,0.36,10.68,15.68,0.67,71.29,8.46,23.32,31.79,12.68,5.86,3.79,11.14,15.14
North Florida,17,11,28.57,61.04,0.47,23.82,46.11,0.52,4.75,14.93,0.31,12.46,17.82,0.70,74.36,9.96,23.29,33.25,14.82,5.43,2.86,9.82,15.36
Bryant,11,15,25.54,60.46,0.42,18.54,38.38,0.48,7.00,22.08,0.32,12.04,17.58,0.66,70.12,8.85,24.00,32.85,12.85,6.38,3.58,11.23,16.96
Mount St. Mary's,10,18,23.75,55.18,0.43,16.50,34.79,0.48,7.25,20.39,0.37,11.71,16.50,0.70,66.46,7.68,24.29,31.96,11.93,5.18,3.39,10.71,18.25
Oregon St.,15,12,23.85,55.11,0.43,16.93,35.30,0.48,6.93,19.81,0.35,12.63,17.41,0.71,67.26,8.26,21.89,30.15,13.19,5.78,3.11,11.78,18.59
USC,18,9,23.59,60.81,0.39,16.22,37.19,0.44,7.37,23.63,0.31,12.15,17.41,0.69,66.70,9.19,23.56,32.74,11.89,7.89,3.11,11.96,18.41
BYU,21,7,25.50,58.32,0.44,19.25,38.21,0.50,6.25,20.11,0.31,11.32,16.25,0.67,68.57,7.39,24.21,31.61,12.14,6.32,2.18,12.11,15.50
San Francisco,18,12,25.27,56.17,0.45,19.20,40.07,0.48,6.07,16.10,0.38,12.67,17.53,0.72,69.27,7.27,23.93,31.20,10.77,6.20,2.90,12.37,16.93
SIU Edwardsville,6,20,24.81,56.62,0.44,17.19,33.50,0.51,7.62,23.12,0.33,16.12,22.15,0.72,73.35,8.46,24.00,32.46,15.19,6.31,3.23,12.65,17.15
Tennessee Martin,7,18,30.20,61.00,0.50,20.48,35.44,0.58,9.72,25.56,0.39,11.80,17.00,0.68,81.92,10.00,22.28,32.28,18.52,6.44,2.88,11.44,16.88
UT Arlington,12,16,24.29,58.25,0.42,18.32,37.64,0.49,5.96,20.61,0.28,14.50,20.75,0.69,69.04,9.29,25.54,34.82,13.25,5.07,3.04,11.82,17.00
Texas St.,18,9,22.00,53.19,0.41,15.74,33.74,0.47,6.26,19.44,0.31,14.81,20.44,0.74,65.07,8.41,21.78,30.19,10.96,4.63,3.11,13.81,18.41
Arkansas St.,12,15,24.96,54.26,0.46,18.52,36.00,0.52,6.44,18.26,0.36,17.33,23.56,0.73,73.70,8.81,23.85,32.67,13.56,5.85,2.22,12.78,21.11
Troy,8,19,25.30,56.52,0.45,17.74,33.93,0.53,7.56,22.59,0.35,14.78,20.85,0.71,72.93,8.44,24.85,33.30,14.15,6.52,3.93,13.63,17.48
Grambling St.,14,15,23.59,56.83,0.42,16.34,35.10,0.47,7.24,21.72,0.34,14.41,21.03,0.69,68.83,9.00,22.76,31.76,14.07,6.69,3.03,13.62,18.86
Jackson St.,15,12,22.07,53.48,0.42,16.81,36.74,0.47,5.26,16.74,0.31,15.04,21.89,0.66,64.44,8.15,24.07,32.22,10.96,6.07,3.00,15.74,18.15
Middle Tennessee,5,23,26.57,55.46,0.48,19.46,36.71,0.53,7.11,18.75,0.37,15.43,21.86,0.71,75.68,7.68,25.61,33.29,14.07,6.86,2.82,12.89,16.50
Southern Miss,8,20,24.64,57.46,0.43,15.61,30.32,0.53,9.04,27.14,0.33,14.18,19.18,0.72,72.50,8.04,23.43,31.46,13.32,7.32,2.50,11.89,15.11
North Texas,19,8,22.26,51.89,0.43,15.74,33.70,0.47,6.52,18.19,0.34,13.44,19.74,0.67,64.48,7.19,19.37,26.56,10.41,6.52,2.93,12.89,16.96
UTEP,14,15,23.55,55.90,0.42,17.41,35.69,0.49,6.14,20.21,0.31,13.62,18.79,0.73,66.86,8.17,24.97,33.14,11.38,5.66,2.72,13.07,17.21
Portland St.,17,12,27.97,59.52,0.47,21.97,41.45,0.54,6.00,18.07,0.32,13.07,18.24,0.72,75.00,9.07,22.07,31.14,15.45,5.86,3.66,14.45,17.00
San Diego,7,20,26.93,59.07,0.45,20.81,40.22,0.52,6.11,18.85,0.32,13.22,18.59,0.69,73.19,8.11,25.67,33.78,13.00,6.89,3.59,11.70,18.04
Santa Clara,17,12,25.10,58.41,0.43,18.41,38.86,0.47,6.69,19.55,0.34,15.72,21.79,0.72,72.62,7.90,25.66,33.55,12.76,6.34,3.14,13.07,18.10
Dartmouth,8,16,23.67,55.88,0.43,15.79,32.42,0.49,7.88,23.46,0.33,10.71,16.58,0.64,65.92,6.08,24.25,30.33,11.58,5.67,2.50,10.25,15.42
Harvard,18,6,23.92,58.42,0.41,17.17,37.83,0.46,6.75,20.58,0.33,13.21,18.92,0.69,67.79,7.88,22.92,30.79,10.29,6.88,2.29,11.75,18.71
Florida Gulf Coast,10,18,23.43,55.54,0.43,16.46,34.93,0.48,6.96,20.61,0.34,11.50,16.39,0.69,65.32,8.07,23.21,31.29,11.54,7.61,3.04,12.96,13.57
NJIT,7,19,23.88,54.19,0.44,17.42,35.69,0.48,6.46,18.50,0.35,12.96,18.08,0.73,67.19,6.81,25.38,32.19,12.00,5.15,3.65,11.85,16.42
High Point,9,20,25.72,55.17,0.47,15.59,29.76,0.52,10.14,25.41,0.39,13.52,20.03,0.67,75.10,8.24,22.21,30.45,15.55,6.69,3.45,12.21,19.28
Longwood,10,16,23.96,54.92,0.44,15.35,31.08,0.50,8.62,23.85,0.36,13.38,19.38,0.69,69.92,7.00,26.54,33.54,14.23,6.08,3.19,13.42,18.12
Florida Atlantic,15,13,24.71,56.75,0.44,17.50,35.64,0.49,7.21,21.11,0.33,11.57,16.64,0.69,68.21,7.93,24.25,32.18,11.18,6.64,2.25,14.04,16.39
Old Dominion,10,18,22.07,54.11,0.41,13.89,29.89,0.47,8.18,24.21,0.33,13.75,18.79,0.73,66.07,6.29,25.07,31.36,11.93,5.07,3.71,11.57,15.89
Utah,13,15,26.54,58.39,0.46,19.25,38.29,0.51,7.29,20.11,0.35,10.64,14.32,0.74,71.00,8.11,21.75,29.86,13.46,6.46,3.71,12.14,18.54
Marshall,16,13,24.86,61.69,0.41,18.24,41.34,0.44,6.62,20.34,0.32,16.38,23.83,0.69,72.72,11.10,26.62,37.72,10.03,8.07,3.21,15.03,15.86
Western Kentucky,16,10,27.81,62.31,0.45,20.54,38.46,0.54,7.27,23.85,0.30,9.58,12.96,0.72,72.46,9.73,24.42,34.15,13.35,5.35,3.23,12.85,18.08
Grand Canyon,12,14,25.54,58.54,0.44,17.12,34.31,0.51,8.42,24.23,0.35,13.04,17.65,0.73,72.54,8.38,23.50,31.88,14.04,5.19,2.50,10.12,18.15
Louisiana,11,18,27.10,59.62,0.46,19.93,38.14,0.53,7.17,21.48,0.34,14.76,19.83,0.76,76.14,8.86,25.14,34.00,13.59,7.03,2.83,12.97,18.72
Louisiana Monroe,7,18,24.00,56.40,0.43,17.12,34.48,0.50,6.88,21.92,0.30,13.84,19.24,0.71,68.72,8.92,22.80,31.72,12.96,5.84,2.60,10.84,17.00
Murray St.,21,8,23.07,56.93,0.41,16.66,36.31,0.46,6.41,20.62,0.31,12.66,18.31,0.69,65.21,8.00,21.41,29.41,10.38,6.10,3.31,12.66,18.62
Tennessee St.,15,14,24.17,58.41,0.42,17.14,36.07,0.48,7.03,22.34,0.32,16.24,22.24,0.72,71.62,9.00,21.03,30.03,11.03,7.10,2.86,11.41,17.07
Purdue Fort Wayne,12,16,25.11,55.96,0.45,17.04,32.43,0.54,8.07,23.54,0.34,10.86,15.50,0.68,69.14,6.50,24.75,31.25,13.36,6.18,3.25,12.86,14.79
Nebraska Omaha,14,14,28.07,60.93,0.46,19.32,36.61,0.54,8.75,24.32,0.36,13.64,18.21,0.73,78.54,8.21,25.25,33.46,14.86,5.50,3.11,11.21,16.29
North Dakota,14,16,27.13,59.77,0.46,20.07,40.50,0.50,7.07,19.27,0.37,13.17,17.67,0.73,74.50,7.30,22.27,29.57,11.83,6.63,2.53,10.77,19.10
Western Illinois,5,18,28.57,60.65,0.47,20.48,38.78,0.53,8.09,21.87,0.37,15.35,20.22,0.75,80.57,7.04,27.87,34.91,12.39,5.00,2.52,11.52,15.78
Pepperdine,13,15,27.29,59.82,0.46,19.07,37.93,0.50,8.21,21.89,0.38,14.18,19.75,0.72,76.96,8.29,24.89,33.18,15.96,6.57,2.89,13.18,19.82
Portland,6,22,26.54,60.00,0.44,18.04,35.54,0.51,8.50,24.46,0.34,12.64,18.64,0.68,74.21,9.29,26.36,35.64,15.75,7.39,2.68,12.21,19.07
Rice,11,16,27.37,59.89,0.46,19.26,35.37,0.55,8.11,24.52,0.33,12.26,17.89,0.69,75.11,8.81,24.78,33.59,14.22,5.96,2.89,12.15,18.30
UTSA,13,14,26.48,61.19,0.44,18.37,37.48,0.49,8.11,23.70,0.35,15.22,22.11,0.69,76.30,8.67,26.04,34.70,12.78,6.04,3.52,13.33,18.37
Little Rock,18,9,24.70,57.78,0.43,17.22,36.15,0.48,7.48,21.63,0.35,13.33,19.22,0.70,70.22,8.67,21.44,30.11,12.22,6.96,3.00,13.30,21.52
South Alabama,18,9,23.78,56.59,0.42,14.52,29.44,0.49,9.26,27.15,0.34,10.30,14.52,0.71,67.11,9.22,22.04,31.26,13.63,5.52,3.74,13.15,17.63
Eastern Kentucky,14,15,26.97,59.34,0.46,20.17,38.28,0.54,6.79,21.07,0.32,15.38,21.03,0.73,76.10,10.83,27.76,38.59,14.55,6.79,3.31,16.72,17.72
Tennessee Tech,8,17,26.96,57.68,0.47,19.00,36.20,0.53,7.96,21.48,0.37,11.12,15.64,0.69,73.00,7.92,23.48,31.40,16.60,6.52,3.08,13.12,14.04
New Mexico St.,23,4,21.00,49.70,0.42,15.11,30.74,0.49,5.89,18.96,0.31,11.19,15.44,0.70,59.07,5.67,19.07,24.74,10.19,5.93,1.89,13.59,17.56
UT Rio Grande Valley,13,12,24.84,53.28,0.47,17.80,34.68,0.52,7.04,18.60,0.37,16.20,22.32,0.72,72.92,7.68,23.68,31.36,14.80,5.52,2.36,16.48,19.72
Wichita St.,20,8,21.57,55.18,0.39,15.82,35.96,0.44,5.75,19.21,0.29,15.32,21.79,0.70,64.21,7.21,24.04,31.25,10.25,6.46,4.04,13.61,18.75
Arizona,17,11,22.64,56.21,0.40,15.89,34.96,0.46,6.75,21.25,0.31,15.00,20.14,0.73,67.04,7.71,23.29,31.00,11.89,5.18,3.32,13.11,19.00
Colorado,18,11,23.90,57.14,0.42,17.72,38.93,0.45,6.17,18.21,0.33,10.86,15.38,0.69,64.83,7.21,21.48,28.69,11.03,7.21,2.66,12.21,18.52
Washington,13,16,23.03,60.24,0.38,15.86,36.86,0.44,7.17,23.38,0.30,13.69,19.07,0.70,66.93,10.69,21.72,32.41,13.69,6.72,1.90,12.90,19.07
Idaho St.,6,20,29.15,59.85,0.49,23.38,43.23,0.54,5.77,16.62,0.35,10.73,14.35,0.75,74.81,8.04,22.42,30.46,12.54,6.12,3.23,10.96,18.58
Montana St.,12,14,24.35,57.12,0.43,16.73,34.00,0.49,7.62,23.12,0.33,11.92,17.15,0.68,68.23,7.54,23.23,30.77,12.54,6.23,3.54,10.38,18.69
Loyola Marymount,10,19,22.90,51.59,0.44,15.10,28.28,0.53,7.79,23.31,0.33,14.00,19.21,0.74,67.59,7.59,19.90,27.48,13.55,6.76,3.38,11.52,17.72
Saint Mary's,23,7,25.30,55.67,0.46,19.07,37.60,0.51,6.23,18.07,0.35,11.20,15.27,0.73,68.03,6.30,22.13,28.43,10.13,4.03,3.17,11.07,16.43
Montana,17,10,22.89,52.59,0.44,17.41,36.44,0.48,5.48,16.15,0.34,17.67,24.74,0.71,68.93,6.70,24.78,31.48,10.04,5.48,2.74,14.22,16.70
Weber St.,12,18,26.73,60.60,0.45,19.37,39.80,0.49,7.37,20.80,0.37,9.83,13.90,0.73,70.67,8.70,24.80,33.50,13.87,6.00,2.73,11.70,16.50
Cal St. Bakersfield,10,17,21.48,50.00,0.43,14.37,30.48,0.47,7.11,19.52,0.36,17.89,24.59,0.74,67.96,6.41,20.67,27.07,11.33,5.30,3.07,12.26,16.78
Seattle,12,12,24.21,56.17,0.43,18.33,37.96,0.48,5.88,18.21,0.33,17.25,23.21,0.74,71.54,8.46,26.96,35.42,12.13,5.00,3.17,13.33,20.42
Cal St. Fullerton,9,18,25.33,57.74,0.44,19.15,39.44,0.49,6.19,18.30,0.34,15.44,20.81,0.74,72.30,7.93,25.56,33.48,12.48,6.37,3.37,12.07,19.30
Cal St. Northridge,15,12,27.26,60.67,0.45,18.11,35.96,0.51,9.15,24.70,0.37,12.04,17.19,0.70,75.70,9.04,23.96,33.00,14.04,4.74,2.67,12.22,18.26
Cal Poly,6,20,25.65,56.46,0.46,18.08,36.27,0.50,7.58,20.19,0.38,17.00,23.65,0.71,75.88,9.08,26.04,35.12,14.23,6.50,3.31,12.88,18.54
UC Irvine,18,9,22.22,56.78,0.39,15.59,38.15,0.41,6.63,18.63,0.35,13.96,20.22,0.70,65.04,7.37,19.96,27.33,10.33,5.22,2.63,11.15,16.56
UC Riverside,15,13,21.96,53.93,0.41,15.46,35.93,0.43,6.50,18.00,0.37,11.04,15.64,0.69,61.46,5.93,21.36,27.29,10.75,5.50,2.50,10.57,15.82
UC Santa Barbara,20,8,24.11,53.54,0.45,17.54,34.25,0.51,6.57,19.29,0.34,10.68,15.07,0.71,65.46,6.75,20.54,27.29,11.36,4.57,2.54,11.71,19.25
Gonzaga,27,2,26.41,61.90,0.43,19.52,40.72,0.48,6.90,21.17,0.33,9.24,13.28,0.69,68.97,7.34,21.69,29.03,11.55,6.07,3.10,12.34,19.24
